REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2025/04/01 00:05:00,6892.48,57.01,TRADE
NSW1,2025/04/01 00:10:00,6897,57.01,TRADE
NSW1,2025/04/01 00:15:00,6852.09,57.01,TRADE
NSW1,2025/04/01 00:20:00,6835.1,57.01,TRADE
NSW1,2025/04/01 00:25:00,6790.07,56.98,TRADE
NSW1,2025/04/01 00:30:00,6730.44,56.98,TRADE
NSW1,2025/04/01 00:35:00,6691.32,56.98,TRADE
NSW1,2025/04/01 00:40:00,6680.78,57.01,TRADE
NSW1,2025/04/01 00:45:00,6664.75,56.30,TRADE
NSW1,2025/04/01 00:50:00,6552.29,55.68,TRADE
NSW1,2025/04/01 00:55:00,6603.66,56.33,TRADE
NSW1,2025/04/01 01:00:00,6534.85,56.40,TRADE
NSW1,2025/04/01 01:05:00,6515.36,50.46,TRADE
NSW1,2025/04/01 01:10:00,6537.64,56.45,TRADE
NSW1,2025/04/01 01:15:00,6454.9,56.02,TRADE
NSW1,2025/04/01 01:20:00,6407.16,56.52,TRADE
NSW1,2025/04/01 01:25:00,6375.95,53.30,TRADE
NSW1,2025/04/01 01:30:00,6385.83,56.02,TRADE
NSW1,2025/04/01 01:35:00,6375.86,56.02,TRADE
NSW1,2025/04/01 01:40:00,6417.77,56.98,TRADE
NSW1,2025/04/01 01:45:00,6352.85,56.23,TRADE
NSW1,2025/04/01 01:50:00,6360.12,56.58,TRADE
NSW1,2025/04/01 01:55:00,6300.44,53.07,TRADE
NSW1,2025/04/01 02:00:00,6325.46,55.95,TRADE
NSW1,2025/04/01 02:05:00,6219.4,52.78,TRADE
NSW1,2025/04/01 02:10:00,6195.38,50.09,TRADE
NSW1,2025/04/01 02:15:00,6222.19,55.98,TRADE
NSW1,2025/04/01 02:20:00,6188.07,56.02,TRADE
NSW1,2025/04/01 02:25:00,6192.01,53.13,TRADE
NSW1,2025/04/01 02:30:00,6225.94,56.81,TRADE
NSW1,2025/04/01 02:35:00,6234.94,56.98,TRADE
NSW1,2025/04/01 02:40:00,6225.34,56.98,TRADE
NSW1,2025/04/01 02:45:00,6236.58,57.05,TRADE
NSW1,2025/04/01 02:50:00,6211.38,56.98,TRADE
NSW1,2025/04/01 02:55:00,6180.3,56.98,TRADE
NSW1,2025/04/01 03:00:00,6177.2,56.98,TRADE
NSW1,2025/04/01 03:05:00,6180.62,56.98,TRADE
NSW1,2025/04/01 03:10:00,6248,56.98,TRADE
NSW1,2025/04/01 03:15:00,6199.5,51.05,TRADE
NSW1,2025/04/01 03:20:00,6298.69,57.01,TRADE
NSW1,2025/04/01 03:25:00,6171.02,53.53,TRADE
NSW1,2025/04/01 03:30:00,6236.46,57.01,TRADE
NSW1,2025/04/01 03:35:00,6293.05,57.04,TRADE
NSW1,2025/04/01 03:40:00,6413.29,71.61,TRADE
